0,lam,alp,N,T
2.009678363800049,0.02,0.01,500,500
2.011749029159546,0.02,0.01,500,500
2.012969970703125,0.02,0.01,500,500
2.0101945400238037,0.02,0.01,500,500
2.0111567974090576,0.02,0.01,500,500
2.012927770614624,0.02,0.01,500,500
2.009639024734497,0.02,0.01,500,500
2.0100479125976562,0.02,0.01,500,500
2.010383367538452,0.02,0.01,500,500
2.012868642807007,0.02,0.01,500,500
2.010199785232544,0.02,0.01,500,500
2.013185977935791,0.02,0.01,500,500
2.0129971504211426,0.02,0.01,500,500
2.0154073238372803,0.02,0.01,500,500
2.0157060623168945,0.02,0.01,500,500
2.0158731937408447,0.02,0.01,500,500
2.0155346393585205,0.02,0.01,500,500
2.014850378036499,0.02,0.01,500,500
2.015038251876831,0.02,0.01,500,500
2.0185978412628174,0.02,0.01,500,500
2.018683433532715,0.02,0.01,500,500
2.0188045501708984,0.02,0.01,500,500
2.0206284523010254,0.02,0.01,500,500
2.023219585418701,0.02,0.01,500,500
2.02838134765625,0.02,0.01,500,500
2.0291295051574707,0.02,0.01,500,500
2.029298782348633,0.02,0.01,500,500
2.0311596393585205,0.02,0.01,500,500
2.032630681991577,0.02,0.01,500,500
2.031947135925293,0.02,0.01,500,500
2.0349488258361816,0.02,0.01,500,500
2.0353586673736572,0.02,0.01,500,500
2.0340211391448975,0.02,0.01,500,500
2.035168170928955,0.02,0.01,500,500
2.035013198852539,0.02,0.01,500,500
2.033768653869629,0.02,0.01,500,500
2.034710168838501,0.02,0.01,500,500
2.038560390472412,0.02,0.01,500,500
2.043079376220703,0.02,0.01,500,500
2.042689561843872,0.02,0.01,500,500
2.038388729095459,0.02,0.01,500,500
2.044044017791748,0.02,0.01,500,500
2.043224811553955,0.02,0.01,500,500
2.0456488132476807,0.02,0.01,500,500
2.047370672225952,0.02,0.01,500,500
2.04819917678833,0.02,0.01,500,500
2.0496857166290283,0.02,0.01,500,500
2.0507733821868896,0.02,0.01,500,500
2.0492610931396484,0.02,0.01,500,500
2.049970865249634,0.02,0.01,500,500
2.050900459289551,0.02,0.01,500,500
2.0491943359375,0.02,0.01,500,500
2.051950454711914,0.02,0.01,500,500
2.054887056350708,0.02,0.01,500,500
2.056000232696533,0.02,0.01,500,500
2.0565242767333984,0.02,0.01,500,500
2.0579919815063477,0.02,0.01,500,500
2.062124013900757,0.02,0.01,500,500
2.064697265625,0.02,0.01,500,500
2.0684993267059326,0.02,0.01,500,500
2.0713064670562744,0.02,0.01,500,500
2.0737802982330322,0.02,0.01,500,500
2.0785162448883057,0.02,0.01,500,500
2.0824809074401855,0.02,0.01,500,500
2.083674192428589,0.02,0.01,500,500
2.0865237712860107,0.02,0.01,500,500
2.0910089015960693,0.02,0.01,500,500
2.0911483764648438,0.02,0.01,500,500
2.0915451049804688,0.02,0.01,500,500
2.095242977142334,0.02,0.01,500,500
2.097052574157715,0.02,0.01,500,500
2.100250720977783,0.02,0.01,500,500
2.104825735092163,0.02,0.01,500,500
2.1044065952301025,0.02,0.01,500,500
2.1055147647857666,0.02,0.01,500,500
2.1086509227752686,0.02,0.01,500,500
2.1123721599578857,0.02,0.01,500,500
2.115666389465332,0.02,0.01,500,500
2.118243932723999,0.02,0.01,500,500
2.1231367588043213,0.02,0.01,500,500
2.126051664352417,0.02,0.01,500,500
